菜品名称,口味得分,营养得分,热度得分,性价比得分,关键词
营养快餐,4,5,4,4,"高性价比,营养,种类多样,菜品多样,清淡,健康,热量适中,便捷,饱腹,速食,易消化,家常,午餐,晚餐"
水饺馄饨,3,4,4,5,"皮薄馅足,鲜香多汁,现包现煮,暖胃饱腹, 高性价比,中热量,午餐,夜宵,易消化"
烤盘饭,3,3,4,4,"焦香四溢,荤素搭配,酱汁浓郁,分量扎实,高性价比,高热量,午餐,晚餐"
海南鸡饭,3,4,3,4,"鸡肉滑嫩,米饭香糯,清爽解腻,风味独特,中性价比,低热量,午餐,易消化"
茶泡饭,3,3,3,3,"简单质朴,茶香浓郁,清爽开胃,便捷轻食, 高性价比,低热量,早餐,易消化,快捷"
烤鸭饭,3,4,3,3,"皮酥肉嫩,油脂丰腴,酱香入味,主食搭配, 中性价比,中高热量,午餐,较难消化"
麻辣拌,3,3,3,4,"麻辣鲜香,自选食材,酱汁浓郁,口感丰富.高性价比,高热量,晚餐,午餐"
麻辣烫,3,3,4,3,"汤底醇厚,荤素皆宜,烫煮入味,麻辣过瘾,高性价比,高热量,晚餐,午餐"
面食系列,3,3,3,4,"劲道爽滑,种类丰富,汤面干拌,暖胃饱腹,高性价比,中热量,午餐,晚餐,易消化"
云南鲜烫米线,3,3,3,4,"米线软糯,汤底鲜香,配料丰富,酸辣爽口,高性价比,低热量,午餐,易消化,开胃"
香汁拌饭,3,4,3,3,"酱汁浓郁,粒粒入味,荤素搭配,香糯可口, 中性价比,高热量,晚餐,易消化"
特色土钵饭,3,4,3,4,"锅气十足,食材新鲜,乡土风味,口感醇厚, 中性价比,高热量,晚餐,易消化"
肠粉,4,3,3,3,"晶莹剔透,嫩滑爽口,鲜香清淡,现蒸现吃, 高性价比,低热量,早餐,易消化"
重庆板凳面,3,3,2,4,"麻辣鲜香,面条劲道,红油浓郁,市井风味, 高性价比,中高热量,夜宵,午餐,不易消化"
山西饼,3,3,1,2,"外酥内软,麦香浓郁,层次分明,饱腹感强,超高性价比,中热量,早餐,较难消化,便捷"
